File,Average Accuracy (Refactored),Average Accuracy (Optimized),Average Runtime Improvement (Refactored),Average Runtime Improvement (Optimized),Average ESLint Change Percentage,Average Closure Change Percentage
gemini_results_temp_0.2/gemini-1.5-flash_REFACTOR_V3_results.csv,0.8610933510933512,0.8871014867485455,1.1446344340427945,1.187576529608413,-8.787731059649994,7.11973581973582
gemini_results_temp_0.2/gemini-1.5-pro_REFACTOR_V5_results.csv,0.9025890775890776,0.9071014867485455,1.0536791432672903,1.1576146668093374,-6.497404781244649,5.953069153069156
gemini_results_temp_0.2/gemini-1.5-pro_CODE_GEN_V1_results.csv,0.8934771894771895,0.9071014867485455,0.9964196050369526,1.1648657611083932,-7.963381455494564,8.594735819735822
gemini_results_temp_0.2/gemini-1.5-pro_REFACTOR_V2_results.csv,0.8872044622044623,0.8871014867485455,1.147937767309304,1.2365333041610924,-3.077571674981614,8.544735819735822
gemini_results_temp_0.2/gemini-1.5-flash_CODE_GEN_V1_results.csv,0.8528422688422688,0.8871014867485455,1.077573990480162,1.180294736970635,1.2880947797848679,10.736402486402488
gemini_results_temp_0.2/gemini-1.5-pro_REFACTOR_V3_results.csv,0.8602708402708403,0.8871014867485455,1.048433894097868,1.2082795238504798,0.7057524724119568,8.786402486402489
gemini_results_temp_0.2/gemini-1.5-pro_REFACTOR_V1_results.csv,0.8633827283827284,0.8871014867485455,1.0705089237684795,1.1701311852838854,-3.225488287671307,7.078069153069155
gemini_results_temp_0.2/gemini-1.5-flash_REFACTOR_V2_results.csv,0.8736186036186037,0.8871014867485455,1.1909621560906127,1.214948286705249,-14.117207050763284,9.51973581973582
gemini_results_temp_0.2/gemini-1.5-flash_REFACTOR_V5_results.csv,0.8610933510933512,0.8871014867485455,1.1574618874270124,1.1965317793586498,-8.695782179338416,10.186402486402487
gemini_results_temp_0.2/gemini-1.5-flash_REFACTOR_V1_results.csv,0.8610933510933512,0.8871014867485455,1.1644614620605809,1.1991503822624145,-9.26086265441889,10.186402486402487
